,caused_version,enabled_version,lesion_rsa,trial,response,model_y
0,and_hm_or_ws_cc,or_ws,0,0,cause,0.0
1,and_hm_or_ws_cc,or_ws,0,0,enable,0.0
2,and_hm_or_ws_cc,or_ws,0,0,affect,0.0
3,and_hm_or_ws_cc,or_ws,0,0,no_difference,1.0
4,and_hm_or_ws_cc,or_ws,0,1,cause,0.0
5,and_hm_or_ws_cc,or_ws,0,1,enable,1.0
6,and_hm_or_ws_cc,or_ws,0,1,affect,0.0
7,and_hm_or_ws_cc,or_ws,0,1,no_difference,0.0
8,and_hm_or_ws_cc,or_ws,0,2,cause,0.0
9,and_hm_or_ws_cc,or_ws,0,2,enable,0.0
10,and_hm_or_ws_cc,or_ws,0,2,affect,0.4327360365089846
11,and_hm_or_ws_cc,or_ws,0,2,no_difference,0.5672639634910154
12,and_hm_or_ws_cc,or_ws,0,3,cause,0.12032668521151185
13,and_hm_or_ws_cc,or_ws,0,3,enable,0.03780303950341155
14,and_hm_or_ws_cc,or_ws,0,3,affect,0.5513078574842256
15,and_hm_or_ws_cc,or_ws,0,3,no_difference,0.290562417800851
16,and_hm_or_ws_cc,or_ws,0,4,cause,0.0071995923725102755
17,and_hm_or_ws_cc,or_ws,0,4,enable,0.0011846903183945444
18,and_hm_or_ws_cc,or_ws,0,4,affect,0.4730976263968482
19,and_hm_or_ws_cc,or_ws,0,4,no_difference,0.5185180909122471
20,and_hm_or_ws_cc,or_ws,0,5,cause,0.7316921136523584
21,and_hm_or_ws_cc,or_ws,0,5,enable,0.12039967240358544
22,and_hm_or_ws_cc,or_ws,0,5,affect,0.14790821394405623
23,and_hm_or_ws_cc,or_ws,0,5,no_difference,0.0
24,and_hm_or_ws_cc,or_ws,0,6,cause,0.36439091572950544
25,and_hm_or_ws_cc,or_ws,0,6,enable,0.28522130513806687
26,and_hm_or_ws_cc,or_ws,0,6,affect,0.35038777913242775
27,and_hm_or_ws_cc,or_ws,0,6,no_difference,0.0
28,and_hm_or_ws_cc,or_ws,0,7,cause,0.0
29,and_hm_or_ws_cc,or_ws,0,7,enable,1.0
30,and_hm_or_ws_cc,or_ws,0,7,affect,0.0
31,and_hm_or_ws_cc,or_ws,0,7,no_difference,0.0
32,and_hm_or_ws_cc,or_ws,0,8,cause,0.2846199248786205
33,and_hm_or_ws_cc,or_ws,0,8,enable,0.13828144039461143
34,and_hm_or_ws_cc,or_ws,0,8,affect,0.5016569267888252
35,and_hm_or_ws_cc,or_ws,0,8,no_difference,0.07544170793794291
36,and_hm_or_ws_cc,or_ws,0,9,cause,0.7201842718739212
37,and_hm_or_ws_cc,or_ws,0,9,enable,0.11850606120518126
38,and_hm_or_ws_cc,or_ws,0,9,affect,0.1611216708333384
39,and_hm_or_ws_cc,or_ws,0,9,no_difference,0.0001879960875591935
40,and_hm_or_ws_cc,or_ws,0,10,cause,0.3717130554927189
41,and_hm_or_ws_cc,or_ws,0,10,enable,0.24804972022328542
42,and_hm_or_ws_cc,or_ws,0,10,affect,0.37796724428551376
43,and_hm_or_ws_cc,or_ws,0,10,no_difference,0.002269979998481979
44,and_hm_or_ws_cc,or_ws,0,11,cause,0.3679784571425999
45,and_hm_or_ws_cc,or_ws,0,11,enable,0.2825555285952857
46,and_hm_or_ws_cc,or_ws,0,11,affect,0.34946505151759716
47,and_hm_or_ws_cc,or_ws,0,11,no_difference,9.627445172903444e-07
48,and_hm_or_ws_cc,or_ws,0,12,cause,0.7316921136523584
49,and_hm_or_ws_cc,or_ws,0,12,enable,0.12039967240358544
50,and_hm_or_ws_cc,or_ws,0,12,affect,0.14790821394405623
51,and_hm_or_ws_cc,or_ws,0,12,no_difference,0.0
